,,,,,,,,
timestamp,user_id,username,ip_address,password_strength,login_status,user_agent,country,session_id
2025-11-17 03:13:28,user_8033,test,38.75.140.105,weak,success,curl/7.68.0,UK,sess_572688
2025-11-25 04:40:28,user_3792,user683@example.com,59.88.123.147,strong,success,Mozilla/5.0,IN,sess_279467
2025-11-26 15:51:28,user_4901,user778@example.com,240.71.95.63,weak,success,Mozilla/5.0,UK,sess_974123
2025-12-06 16:50:28,user_6047,user796@example.com,48.94.119.79,strong,success,Mozilla/5.0,CN,sess_731489
2025-11-29 23:58:28,user_8339,user535@example.com,15.142.242.169,medium,success,Mozilla/5.0,RU,sess_384445
2025-11-22 03:19:28,user_9776,user361@example.com,215.229.22.29,strong,success,Mozilla/5.0,RU,sess_352754
2025-11-08 00:22:28,user_7431,user952@example.com,229.232.138.16,medium,success,Mozilla/5.0,IN,sess_197061
2025-11-30 16:26:28,user_4619,user380@example.com,177.30.141.51,medium,success,Mozilla/5.0,IN,sess_373171
2025-11-25 22:35:28,user_3209,user333@example.com,118.214.84.198,medium,success,Mozilla/5.0,RU,sess_677782
2025-11-25 09:21:28,user_7565,user396@example.com,154.255.223.248,medium,success,Mozilla/5.0,RU,sess_236523
2025-12-06 21:21:28,user_5512,user748@example.com,193.52.227.92,medium,success,Mozilla/5.0,IN,sess_515774
2025-12-04 19:17:28,user_7338,admin,23.129.64.1,weak,failed,curl/7.68.0,RU,sess_711412
2025-11-09 08:55:28,user_4143,user156@example.com,33.42.193.5,medium,success,Mozilla/5.0,RU,sess_576851
2025-11-07 11:09:28,user_5918,user591@example.com,241.3.35.255,strong,success,Mozilla/5.0,IN,sess_889730
2025-12-02 02:55:28,user_3323,user,23.129.64.1,weak,success,curl/7.68.0,US,sess_484017
2025-11-26 09:10:28,user_1716,user508@example.com,69.6.33.194,strong,success,Mozilla/5.0,CN,sess_714349
2025-11-30 01:37:28,user_2126,user870@example.com,81.50.250.235,weak,success,Mozilla/5.0,UK,sess_408296
2025-11-15 22:40:28,user_5583,user462@example.com,194.23.237.118,medium,success,Mozilla/5.0,US,sess_472361
2025-11-25 00:18:28,user_1983,user882@example.com,193.239.152.133,strong,success,Mozilla/5.0,IN,sess_774102
2025-11-22 14:30:28,user_4783,user409@example.com,177.188.43.103,weak,success,Mozilla/5.0,RU,sess_798621
2025-11-09 22:47:28,user_5638,user344@example.com,152.164.246.176,strong,success,Mozilla/5.0,UK,sess_401309
2025-11-22 13:07:28,user_6141,admin,45.33.32.156,weak,success,curl/7.68.0,US,sess_970184
2025-11-12 01:48:28,user_3328,user638@example.com,184.90.24.233,strong,success,Mozilla/5.0,UK,sess_945268
2025-12-04 21:46:28,user_1358,user933@example.com,121.5.47.163,strong,success,Mozilla/5.0,US,sess_422522
2025-11-26 17:28:28,user_5038,user171@example.com,35.13.158.149,medium,success,Mozilla/5.0,RU,sess_253506
2025-11-14 00:56:28,user_1091,user632@example.com,241.252.199.216,weak,success,Mozilla/5.0,IN,sess_275786
2025-12-03 14:22:28,user_4522,user981@example.com,146.92.159.207,medium,success,Mozilla/5.0,UK,sess_922036
2025-11-17 23:59:28,user_7217,root,214.33.115.250,weak,failed,curl/7.68.0,US,sess_370583
2025-11-11 10:55:28,user_3308,user714@example.com,244.124.76.179,strong,success,Mozilla/5.0,UK,sess_185044
2025-11-12 10:28:28,user_3204,user584@example.com,135.205.90.201,strong,success,Mozilla/5.0,US,sess_604575
2025-11-28 16:28:28,user_4783,user378@example.com,230.214.17.162,weak,success,Mozilla/5.0,US,sess_446376
2025-12-02 04:55:28,user_9069,user224@example.com,230.243.245.208,weak,success,Mozilla/5.0,RU,sess_912473
2025-11-17 16:07:28,user_2527,admin,219.220.12.77,weak,failed,curl/7.68.0,CN,sess_284610
2025-11-26 03:36:28,user_2365,admin,152.240.44.17,weak,success,curl/7.68.0,US,sess_711438
2025-11-18 07:11:28,user_2827,user925@example.com,206.108.82.134,medium,success,Mozilla/5.0,RU,sess_300202
2025-11-12 04:44:28,user_9968,test,158.187.223.142,weak,success,curl/7.68.0,UK,sess_947490
2025-11-12 14:27:28,user_6232,user941@example.com,49.55.156.142,weak,success,Mozilla/5.0,US,sess_819326
2025-12-04 20:31:28,user_6000,user324@example.com,171.51.115.15,strong,success,Mozilla/5.0,US,sess_993258
2025-11-13 23:21:28,user_4633,user258@example.com,119.1.199.203,medium,success,Mozilla/5.0,IN,sess_870930
2025-12-04 13:26:28,user_6723,user179@example.com,121.112.23.13,weak,success,Mozilla/5.0,IN,sess_964550
2025-11-13 14:19:28,user_9101,user925@example.com,98.96.213.61,strong,success,Mozilla/5.0,RU,sess_229649
2025-11-08 21:14:28,user_5188,user,23.129.64.1,weak,success,curl/7.68.0,IN,sess_531420
2025-11-29 16:34:28,user_8556,test,64.216.63.13,weak,success,curl/7.68.0,IN,sess_404614
2025-11-29 20:00:28,user_5337,user126@example.com,151.139.156.48,weak,success,Mozilla/5.0,UK,sess_800744
2025-12-02 06:20:28,user_2463,user962@example.com,217.157.70.244,weak,success,Mozilla/5.0,CN,sess_973836
2025-11-08 10:36:28,user_9495,test,70.162.237.198,weak,failed,curl/7.68.0,CN,sess_211382
2025-11-14 23:05:28,user_6575,user902@example.com,222.231.6.79,medium,success,Mozilla/5.0,UK,sess_284506
2025-11-21 20:24:28,user_6560,user666@example.com,160.225.92.29,strong,success,Mozilla/5.0,CN,sess_252957
2025-11-12 10:49:28,user_2651,user758@example.com,118.105.197.238,weak,success,Mozilla/5.0,CN,sess_219241
2025-11-26 14:27:28,user_5648,user402@example.com,39.198.126.106,weak,success,Mozilla/5.0,IN,sess_672762
2025-11-18 03:26:28,user_1307,user443@example.com,171.21.16.93,medium,success,Mozilla/5.0,US,sess_564121
2025-11-19 06:55:28,user_8712,user372@example.com,226.1.46.230,weak,success,Mozilla/5.0,RU,sess_265088
2025-11-29 09:22:28,user_6637,user655@example.com,224.49.25.201,strong,success,Mozilla/5.0,IN,sess_369626
2025-11-16 03:52:28,user_6673,user465@example.com,169.111.208.94,medium,success,Mozilla/5.0,US,sess_113736
2025-12-01 16:00:28,user_1433,user147@example.com,57.221.10.61,medium,success,Mozilla/5.0,UK,sess_160383
2025-11-23 13:57:28,user_4879,user653@example.com,235.74.154.152,weak,success,Mozilla/5.0,UK,sess_984468
2025-12-04 11:59:28,user_9234,user959@example.com,151.168.86.79,weak,success,Mozilla/5.0,CN,sess_991006
2025-12-02 11:07:28,user_7993,user294@example.com,132.159.76.65,weak,success,Mozilla/5.0,US,sess_504293
2025-11-23 16:14:28,user_1226,user309@example.com,215.246.57.130,weak,success,Mozilla/5.0,UK,sess_831755
2025-11-26 14:10:28,user_9618,user410@example.com,251.33.205.40,weak,success,Mozilla/5.0,IN,sess_819619
